id;NIF/CIF;Identificador Deudor;lmporte Total Deudes/Sanciones Pendientes;;;
1;1353270070;201 HARDWARE IMPORT-EXPORT, SL;7.688.866,05 €;;;
2;1355204002;2D RACING MANAGEMENT, SL;2.033.145,46 €;;;
3;812590550;3 A G BENI 2002, SL;2.188.755,48 €;;;
4;A78061694;4 S INSTALACIONES SA;1.109.096,97 €;;;
5;816121600;4R, REPARACIONES, REHABILITACIONES, RESTAURACIONES Y REFORMAS SL;4.894.451,10 €;;;
6;8573841513;7 TRAVEL NETWORK SLU;1.343.064,15 €;;;
7;A82533886;77 VIRG COMPLEMENTOS Y ACCESORIOS SA;14.090.962,76 €;;;
8;882692195;8 CUBILLOINMOBILIARIA SL;1.183.189,62 €;;;
9;885862027;9403 OPEROIL SL;9.983.697,29 €;;;
10;853250155;98 MERCAEX, SL;2.062.512,94 €;;;
11;659862367;A.B. ASSOCIATS, SL;2.065.880,78 €;;;
12;A06419220;A.G.G. OCCIDENTRAL EMPRESA CONSTRUCTORA SA;1.014.679,57 €;;;
13;1311793841;A.M. AUTOVER KANF SL UNIPERSONAL;2.045.207,58 €;;;
14;862654629;A.M.T. GRUP TOPOGRAFIC, SL;1.352.478,91 €;;;
15;892226158;A .R. F .TRUST,S. L.;1.315.444,12 €;;;
16;830361976;A.T. GARCIA ROS SL;1.052.291,75 €;;;
17;837337565;AACH Y HERNANDEZ ALONSO SL;1.013.196,03 €;;;
18;A61841649;AARON TECHNOLOGIES, SA;4.675.520,37 €;;;
19;896289194;ABACOCIN E SL;1.130.244,92 €;;;
20;1360531993;ABANTIA EMPRESARIAL, SL;8.284.362,58 €;;;
21;854219811;ABASEILI CALZADOS 2007 SL UNIPERSONAL;1.516.917,61 €;;;
22;863176515;ABEDUL GROUP LINE, SL;2.393.807,94 €;;;
23;896867544;ABIATAR EUROPA SL;1.943.938,94 €;;;
24;1321375415;ABLOCADE SL;2.519.139,47 €;;;
25;A47265426;ABONOS Y CEREALES GAVILAN SA;8.510.920,44 €;;;
26;847621628;ABREU Y ARAUJO, SL;1.199.743,39 €;;;
27;863293609;ABROS 2003, SL;9.416.394,67 €;;;
28;835840396;ABSOLUT TRADING,S.L.U.;1.090.449,84 €;;;
29;873428815;ACABADOS LORSE SL.;1.154.887,26 €;;;
30;882174087;ACADEMIA UNIVERSAL LUCRA APLICADA AL SOFTWARE SL;6.190.426,75 €;;;
31;832285041;ACANTILADOS PARADISE,S.L.;3.202.910,77 €;;;
32;855048532;ACCES AUTO EMPORDA SL;1.193.325,94 €;;;
33;J17982802;ACCES AUTO, S.C.;2.006.315,11 €;;;
34;A82487455;ACCESOS DE MADRID, CONCESIONARIA ESPAÑOLA SA;38.513.763,04 €;;;
35;818673350;ACCIPLAYA SL;1.183.289,97 €;;;
36;863493241;ACDER EUROPA, SL;1.045.807,01 €;;;
37;870111323;ACEIRO E MADEIRA SL;1.377.772,11 €;;;
38;A29266921;ACEITES EL PILAR SA;1.017.142,36 €;;;
39;815702285;ACERIAS AS PONTES SL;21.549.219,62 €;;;
40;A73140816;ACERO 2001 SA;1.077.837,45 €;;;
41;A06350888;ACOSIERRA, SA;1.117.905,11 €;;;
42;09157224G;ACOSTA RODRIGUEZ ENRIQUE;2.101.839,35 €;;;
43;839324991;ACRON EMPRESA CONSTRUCTORA SL;1.007.659,44 €;;;
44;891704676;ACTIVA INCASUR SL;1.247.279,58 €;;;
45;860794864;ACTIVE COMPUTER, SL;3.422.111,67 €;;;
46;A82351479;ACTIVIDADES DE CONSULTORIA Y TELECOMUNICACIONES SA;1.433.156,23 €;;;
47;884544899;ACTIVOS SAN BERNARDO 3 SL;1.751.053,41 €;;;
48;883659334;ADDISON CONSULTORIA Y DISEÑO SL;1.036.340,17 €;;;
49;863646558;ADEQUATE INVESTMENT, SL;2.402.818,06 €;;;
50;19861163L;ADIEGO ROIG JESUS;1.287.805,34 €;;;
51;A41361478;ADITEL, AUXILIAR DE LA DISTRIBUCION ELECTRICA SA;2.130.592,52 €;;;
52;804315537;ADMINISTRACION Y GESTION ROMAR, SL;1.030.550,30 €;;;
53;863305288;ADNAN HAMED 2004 SL;1.081.715,16 €;;;
54;A62981691;ADOCAT SA;1.821.644,79 €;;;
55;1304548103;ADRA-EJIDO PROMOCIONES, SL;1.024.473,14 €;;;
56;860695111;ADRILIA SLU;1.150.910,34 €;;;
57;862879721;ADVANCED AUTOMOTIVE ANTENNAS, SL;1.085.506,09 €;;;
58;897897003;ADVANTIA INMOBILIARIA SL;2.819.900,70 €;;;
59;1328252021;AEG PROYECTOS INMOBILIARIOS SL;5.662.035,88 €;;;
60;A13275474;AEROPUERTO DE CIUDAD REAL SA;7.021.780,93 €;;;
61;B43560093;AERREGE INTERIORS, SL;1.703.422,53 €;;;
62;B55038210;AFFUBLER XXI S.L.U.;2.309.469,76 €;;;
63;B80893571;AFI AULA DE FORMACION INFORMATICA SL;1.163.142,25 €;;;
64;1380470511;AFIANZA TELECOMUNICACIONES SL;1.823.304,13 €;;;
65;A28658177;AFINSA BIENES TANGIBLES SA;5.103.113,14 €;;;
66;B38633731;AFR GEO POSICION SL;1.226.524,31 €;;;
67;817947938;AG OIL TRANS SERVICES SL EN LIQUIDACION;2.646.355,59 €;;;
68;B85836641;AGAMONAL INSTALACIONES SL;1.345.195,05 €;;;
69;B27208891;AGLOMERADOS DEL NOROESTE, SL;1.652.005,88 €;;;
70;A83431155;AGORA SOLUTIONS SA;3.144.580,64 €;;;
71;B78941341;AGOTRAN SL;1.869.679,23 €;;;
72;B63652648;AGRICOLA BRILES, SL;1.100.639,82 €;;;
73;B04443719;AGRICOLA LA TORREMOCHA SL;1.350.817,59 €;;;
74;B30525315;AGRICOLA MENDEZ SL;1.391.394,01 €;;;
75;A35035195;AGRICOLA RODRIGUEZ QUINTANA SA;1.371.695,36 €;;;
76;A28338986;AGRICOLA SAN AMARO SA;1.128.731,46 €;;;
77;F96534383;AGRIOS DE LA NIVAIRA SAT;4.761.961,24 €;;;
78;A28030229;AGRIOS SA;1.793.517,91 €;;;
79;814673545;AGROCINDE SL;1.176.234,19 €;;;
80;873142564;AGROEMPLEO ETT SL;1.138.546,29 €;;;
81;A09023912;AGROFIAZ SA;1.264.624,22 €;;;
82;1345230190;AGROIBERICOS DERAZA, SL;7.838.800,90 €;;;
83;829436698;AGROJARDIN GUADALMANSA SL;1.288.805,47 €;;;
84;841693656;AGROPECUARIA CONSOLACION SL;4.682.585,59 €;;;
85;828073104;AGROPECUARIA TOLEDANA SL;12.072.972,95 €;;;
86;802445054;AGROSERVICIOS TOBARRA, SL;1.992.692,95 €;;;
87;813337183;AGROTRANSFORMACIONES AGRICOLAS SL;1.252.079,82 €;;;
88;1318729707;AGROVEHICULOS DEL SUR SLU;1.402.393,33 €;;;
89;A92057355;AGRUPACION INMOBILIARIA EUROSUR SA;4.282.748,34 €;;;
90;883145748;AGRUPACION SINDIN SL;1.205.937,32 €;;;
91;850966464;AGRUPACION VIVER SL;1.600.204,74 €;;;
92;853481834;AGUAMARGA GESTION DE ESTUDIOS, SL;1.212.959,19 €;;;
93;804246666;AGUAS SAN ISIDRO SL;5.492.634,74 €;;;
94;19844653T;AGUILAR VALENZUELA FRANCISCO TOMAS;2.495.554,67 €;;;
95;862640800;Ai BO COMUNICACIO I ESTIL, SL;1.082.883,07 €;;;
96;1381764318;AIDE DE CAMP SL;1.104.467,04 €;;;
97;A29403052;AIFOS ARQUITECTURA Y PROMOC INMOBILIARIAS SA;96.225.822,85 €;;;
98;1361505871;AIGUADOR DISTRIBUCION DE AGUA A DOMICILIO, SL;1.096.265,60 €;;;
99;817629163;A!GUAVIVA PARK SL;3.055.217,60 €;;;
100;884602143;AILANTO DESARROLLO URBANISTICOS SL;1.078.171,77 €;;;
101;A29061678;AILIME SA;6.223.795,71 €;;;
102;897127708;AINSAP PREVENCION SL;1.932.658,37 €;;;
103;A81614489;AIR COMET SA;13.918.128,34 €;;;
104;891287433;AIRE DE LOS REYES SRL;2.026.540,42 €;;;
105;1329592706;AIRPORT PARKING SL;2.319.956,01 €;;;
106;883359943;AITZOL DOS SL;2.647.164,51 €;;;
107;B30755995;AJD MONTAJES CARTAGENA, SL;2.976.455,64 €;;;
108;A08756553;AJHOURY DESARROLLOS TURISTICOS SA;4.087.827,85 €;;;
109;862954169;AKASVAYU S.L.U.;16.440.803,22 €;;;
110;884213958;ALARIFES Y SOLDADORES SL;1.045.374,91 €;;;
111;A74041567;ALAS-ALUMINIUM SA-EN LIQUIDACION;1.707.080,67 €;;;
112;A28958684;ALATEC, INGENIEROS CONSULTORES Y ARQUITECTOS SA;1.417.047,83 €;;;
113;1353533089;ALAVAMA CASAS Y PROYECTOS SL;1.920.282,65 €;;;
